"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","COUNTYICP","STRATA","GQ","OWNERSHP","OWNERSHPD","PERNUM","PERWT","FAMSIZE","MARST","RACE","RACED","HISPAN","HISPAND","HCOVANY","HCOVPRIV","HINSCAID","HINSCARE","EDUC","EDUCD","INCTOT","FTOTINC","INCWAGE","INCWELFR","POVERTY"
2023,202301,28314,2023010001382,37.0,2023000283141,250,250204,3,0,0,1,37.0,1,6,1,100,0,0,2,1,2,2,6,63,0,9999999,0,0,0
2023,202301,28338,2023010002318,38.0,2023000283381,250,250204,4,0,0,1,38.0,1,6,2,200,0,0,2,2,1,1,7,71,1500,9999999,1500,0,0
2023,202301,28358,2023010003223,2.0,2023000283581,250,250204,4,0,0,1,2.0,1,6,2,200,0,0,2,2,1,1,7,71,350,9999999,350,0,0
2023,202301,28404,2023010005244,70.0,2023000284041,250,250304,4,0,0,1,70.0,1,6,1,100,0,0,1,1,1,1,6,61,0,9999999,0,0,0
2023,202301,28440,2023010006733,5.0,2023000284401,250,250304,4,0,0,1,5.0,1,5,1,100,0,0,2,1,2,2,10,101,0,9999999,0,0,0
2023,202301,28455,2023010007481,2.0,2023000284551,250,250204,4,0,0,1,2.0,1,6,7,700,1,100,2,2,1,1,6,63,3500,9999999,3500,0,0
2023,202301,28481,2023010008362,72.0,2023000284811,250,250304,3,0,0,1,72.0,1,6,1,100,0,0,1,1,1,1,7,71,0,9999999,0,0,0
2023,202301,28524,2023010010439,20.0,2023000285241,250,250304,3,0,0,1,20.0,1,6,7,700,1,100,1,1,1,1,2,26,9999999,9999999,999999,99999,0
2023,202301,28556,2023010012156,85.0,2023000285561,250,250304,3,0,0,1,85.0,1,5,9,904,1,100,1,1,1,1,6,63,56300,9999999,0,0,0
2023,202301,28595,2023010013564,42.0,2023000285951,250,250204,4,0,0,1,42.0,1,6,6,610,0,0,2,2,1,1,6,63,0,9999999,0,0,0
2023,202301,28740,2023010019651,8.0,2023000287401,250,250304,4,0,0,1,8.0,1,6,8,801,0,0,2,1,2,1,8,81,30400,9999999,30400,0,0
2023,202301,28832,2023010023083,1.0,2023000288321,250,250204,4,0,0,1,1.0,1,6,6,630,0,0,2,2,1,1,7,71,1100,9999999,1100,0,0
2023,202301,28865,2023010024712,11.0,2023000288651,250,250304,4,0,0,1,11.0,1,4,1,100,0,0,1,1,1,1,8,81,35000,9999999,35000,0,0
2023,202301,28929,2023010027056,16.0,2023000289291,250,250304,4,0,0,1,16.0,1,4,1,100,0,0,1,1,1,1,8,81,35000,9999999,35000,0,0
2023,202301,28933,2023010027108,2.0,2023000289331,250,250304,4,0,0,1,2.0,1,4,1,100,0,0,1,1,1,1,8,81,0,9999999,0,0,0
2023,202301,28940,2023010027348,2.0,2023000289401,250,250204,4,0,0,1,2.0,1,6,1,100,0,0,2,2,1,1,7,71,470,9999999,470,0,0
